,Goal,Target,Indicator,SeriesCode,Units,Nature,UpperBound,LowerBound,SeriesDescription,Source (can differ),FootNote (can differ)
28,1,1.5,1.5.1,VC_DSR_PDAN,NUMBER,,,,Number of people whose damaged dwellings were attributed to disasters (number),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
29,1,1.5,1.5.1,VC_DSR_PDYN,NUMBER,,,,Number of people whose destroyed dwellings were attributed to disasters (number),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
30,1,1.5,1.5.1,VC_DSR_PDLN,NUMBER,,,,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)",United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
31,1,1.5,1.5.3,SG_DSR_LGRGSR,INDEX,C,,,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,Sendai Framework Monitoring System as provided by designated national focal points (2019),Some of the data has not followed an official validation process and may be subject to revision at a later date.”
32,1,1.5,1.5.4,SG_DSR_SILS,PERCENT,C,,,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%),Sendai Framework Monitoring System as provided by designated national focal points (2019),Some of the data has not followed an official validation process and may be subject to revision at a later date.”
33,1,1.5,1.5.4,SG_DSR_SILN,NUMBER,C,,,Number of local governments that adopt and implement local DRR strategies in line with national strategies (number),Sendai Framework Monitoring System as provided by designated national focal points (2019),Some of the data has not followed an official validation process and may be subject to revision at a later date.”
34,1,1.5,1.5.4,SG_GOV_LOGV,NUMBER,C,,,Number of local governments (number),Sendai Framework Monitoring System as provided by designated national focal points (2019),Some of the data has not followed an official validation process and may be subject to revision at a later date.”
35,1,1.5,1.5.2,VC_DSR_LSGP,PERCENT,,,,Direct economic loss attributed to disasters relative to GDP (%),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
36,1,1.5,1.5.2,VC_DSR_AGLN,CU_USD,,,,Direct agriculture loss attributed to disasters (current United States dollars),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
37,1,1.5,1.5.2,VC_DSR_HOLN,CU_USD,,,,Direct economic loss in the housing sector attributed to disasters (current United States dollars),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
38,1,1.5,1.5.2,VC_DSR_CILN,CU_USD,,,,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
39,1,1.5,1.5.2,VC_DSR_CHLN,CU_USD_M,,,,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),UNISDR (2019). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
40,1,1.5,1.5.2,VC_DSR_DDPA,CU_USD,,,,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
41,1,1.a,1.a.2,SD_XPD_ESED,PERCENT,C,,,"Proportion of total government spending on essential services, education (%)",UIS,
42,2,2.1,2.1.1,SN_ITK_DEFC,PERCENT,E,,,Prevalence of undernourishment (%),"FAO, Statistics Division",
43,2,2.1,2.1.2,AG_PRD_FIESSI,PERCENT,G,17.6,13.3,Prevalence of severe food insecurity in the adult population (%),"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",The observation value represents the 3-year average of the period 2014-2016.
44,2,2.1,2.1.2,AG_PRD_FIESSIN,NUM_TH,G,5938.2,4474.7,Total population in severe food insecurity (thousands of people),"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",The observation value represents the 3-year average of the period 2014-2016.
45,2,2.1,2.1.1,SN_ITK_DEFCN,NUM_M,E,,,Number of undernourish people (millions),"FAO, Statistics Division",
46,2,2.2,2.2.1,SH_STA_STUNT,PER_POP_U5,CA,,,Proportion of children moderately or severely stunted (%),"Summary report of the national nutrition survey, 2004. Kabul, Islamic Republic of Afghanistan: Ministry of Public Health and UNICEF, 2005 (and additional analysis).",
47,2,2.2,2.2.1,SH_STA_STUNTN,NUM_TH,CA,,,Children moderately or severely stunted (millions),"Summary report of the national nutrition survey, 2004. Kabul, Islamic Republic of Afghanistan: Ministry of Public Health and UNICEF, 2005 (and additional analysis).",
48,2,2.2,2.2.2,SH_STA_WASTE,PER_POP_U5,CA,,,Proportion of children moderately or severely wasted (%),"Summary report of the national nutrition survey, 2004. Kabul, Islamic Republic of Afghanistan: Ministry of Public Health and UNICEF, 2005 (and additional analysis).",
49,2,2.2,2.2.2,SH_STA_WASTEN,NUM_U5_M,CA,,,Children moderately or severely wasted (millions),"Summary report of the national nutrition survey, 2004. Kabul, Islamic Republic of Afghanistan: Ministry of Public Health and UNICEF, 2005 (and additional analysis).",
50,2,2.2,2.2.2,SH_STA_OVRWGT,PER_POP_U5,CA,,,Proportion of children moderately or severely overweight (%),"Summary report of the national nutrition survey, 2004. Kabul, Islamic Republic of Afghanistan: Ministry of Public Health and UNICEF, 2005 (and additional analysis).",
51,2,2.3,2.3.1,PD_AGR_SSFP,CON_USD,E,,,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",FAO,
52,2,2.3,2.3.2,SI_AGR_SSFP,CON_USD,E,,,"Average income of small-scale food producers, PPP (constant 2011 international $)",FAO,
53,2,2.5,2.5.1,ER_GRF_ANIMRCNT,PERCENT,E,,,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution (%),DAD-IS 2019 http://www.fao.org/dad-is/,"Out of 37 local breeds (including extinct ones), 0 are reported with some genetic material stored, and 0 are reported with sufficient material stored to allow them to be reconstituted"
54,2,2.5,2.5.1,ER_GRF_PLNTSTOR,NUMBER,,,,Plant breeds for which sufficient genetic resources are stored (number),FAO,
55,2,2.5,2.5.2,ER_RSK_LBREDS,PERCENT,,,,Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%),DAD-IS 2019 http://www.fao.org/dad-is/,No information on local breeds
56,2,2.a,2.a.1,AG_PRD_ORTIND,INDEX,,,,Agriculture orientation index for government expenditures,,NA = A figure was not provided.
57,2,2.a,2.a.2,DC_TOF_AGRL,CON_USD,C,,,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2017 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,"Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million"
58,2,2.a,2.a.1,AG_PRD_AGVAS,PERCENT,,,,Agriculture value added share of GDP (%),,NA = A figure was not provided.
59,2,2.a,2.a.1,AG_XPD_AGSGB,PERCENT,,,,Agriculture share of Government Expenditure (%),,NA = A figure was not provided.
60,2,2.c,2.c.1,AG_FPA_COMM,INDEX,,,,"Indicator of Food Price Anomalies (IFPA), by type of product",,NA = A figure was not provided.
61,2,2.c,2.c.1,AG_FPA_CFPI,INDEX,G,,,Consumer Food Price Index,FAOSTAT Data/ Consumer Price Indices (http://www.fao.org/faostat/en/#data/CP),Metadata available at: http://www.fao.org/fileadmin/user_upload/sustainable_development_goals/docs/Metadata_template_2.c.1__Food_CPI_add_.pdf | High defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1 | Twelve month average of monthly IFPA
62,3,3.1,3.1.2,SH_STA_BRTC,PERCENT,C,,,Proportion of births attended by skilled health personnel (%),"Multiple Indicator Cluster Survey - 2003 Afghanistan. Afghanistan: Central Statistics Office [Afghanistan], United Nations Children’s Fund (UNICEF); 2004.","Cadres included align with the standard definition of: Doctor, nurse and/or midwife"
63,3,3.1,3.1.1,SH_STA_MMR,PER_100000_LIVE_BIRTHS,E,1950,878,Maternal mortality ratio,"Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division.",
64,3,3.2,3.2.1,SH_DYN_IMRTN,NUMBER,,,,Infant deaths (number),"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",
65,3,3.2,3.2.1,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,,,,"Under-five mortality rate, by sex (deaths per 1,000 live births)","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",
66,3,3.2,3.2.2,SH_DYN_NMRTN,NUMBER,,,,Neonatal deaths (number),"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",
67,3,3.2,3.2.1,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,,,,"Infant mortality rate (deaths per 1,000 live births)","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",
68,3,3.2,3.2.2,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,,,,"Neonatal mortality rate (deaths per 1,000 live births)","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",
69,3,3.2,3.2.1,SH_DYN_MORTN,NUMBER,,,,Under-five deaths (number),"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",
70,3,3.3,3.3.1,SH_HIV_INCD,PER_1000_UNINFECTED_POP,E,,,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",UNAIDS,
71,3,3.3,3.3.3,SH_STA_MALR,PER_1000_POP,E,,,"Malaria incidence per 1,000 population at risk (per 1,000 population)",WMR,
72,3,3.3,3.3.5,SH_TRP_INTVN,NUMBER,CA,,,Number of people requiring interventions against neglected tropical diseases (number),WHO Global Health Observatory,Aggregation across diseases
73,3,3.3,3.3.2,SH_TBS_INCID,PER_100000_POP,E,271,123,"Tuberculosis incidence (per 100,000 population)",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report"
74,3,3.3,3.3.4,SH_HAP_HBSAG,PERCENT,E,0.80,0.30,Prevalence of hepatitis B surface antigen (HBsAg) (%),"Based on serosurveys at city, subnational or national level. World Health Organisation (WHO).",
75,3,3.4,3.4.1,SH_DTH_NCOM,PERCENT,M,,,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018",
76,3,3.4,3.4.2,SH_STA_SCIDE,PER_100000_POP,M,,,"Suicide mortality rate, by sex (deaths per 100,000 population)","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018",
77,3,3.4,3.4.2,SH_STA_SCIDEN,NUMBER,M,,,"Number of deaths attributed to suicide, by sex (number)","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018",
78,3,3.4,3.4.1,SH_DTH_RNCOM,NUMBER,M,,,"Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018",
79,3,3.5,3.5.2,SH_ALC_CONSPT,LTPUREAL,G,,,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),"WHO Global Information System on Alcohol and Health (GISAH), 2018",
80,3,3.6,3.6.1,SH_STA_TRAF,PER_100000_POP,E,,,"Death rate due to road traffic injuries (per 100,000 population)","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)",
81,3,3.7,3.7.1,SH_FPL_MTMM,PERCENT,C,,,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),Afghanistan 2015 Demographic and Health Survey,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.
82,3,3.7,3.7.2,SP_DYN_ADKL,PER_1000_POP,C,,,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Afghanistan 2000 Multiple Indicator Cluster Survey,
83,3,3.8,3.8.2,SH_XPD_EARN25,PERCENT,E,,,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%),"Afghanistan - National Risk and Vulnerability Assessment Survey 2007-2008- World Bank SHES serie; Key indicator of the 2019 global report on Global Monitoring Report on Financial Protection in Health 2019. Geneva: World Health Organization and International Bank for Reconstruction and Development The World Bank; 2019, available at https://www.who.int/health_financing/topics/financial-protection/en/ and http://datatopics.worldbank.org/universal-health-coverage/",
84,3,3.8,3.8.2,SH_XPD_EARN10,PERCENT,E,,,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%),"Afghanistan - National Risk and Vulnerability Assessment Survey 2007-2008- World Bank SHES serie; Key indicator of the 2019 global report on Global Monitoring Report on Financial Protection in Health 2019. Geneva: World Health Organization and International Bank for Reconstruction and Development The World Bank; 2019, available at https://www.who.int/health_financing/topics/financial-protection/en/ and http://datatopics.worldbank.org/universal-health-coverage/",
85,3,3.8,3.8.1,SH_ACS_UNHC,INDEX,E,,,Universal health coverage (UHC) service coverage index,"Tracking universal health coverage: 2019 Global Monitoring Report. Geneva, WHO 2019. http://www.who.int/healthinfo/universal_health_coverage/report/2019/en/",
86,3,3.9,3.9.1,SH_HAP_ASMORT,PER_100000_POP,E,,,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)","Global Health Observatory (GHO), World Health Organisation (WHO)",
87,3,3.9,3.9.1,SH_STA_AIRP,PER_100000_POP,E,,,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","Global Health Observatory (GHO), World Health Organisation (WHO)",
88,3,3.9,3.9.1,SH_STA_ASAIRP,PER_100000_POP,E,,,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)","Global Health Observatory (GHO), World Health Organisation (WHO)",
89,3,3.9,3.9.1,SH_AAP_MORT,PER_100000_POP,E,,,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)","Global Health Observatory (GHO), World Health Organisation (WHO)",
90,3,3.9,3.9.3,SH_STA_POISN,PER_100000_POP,M,,,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018",
91,3,3.9,3.9.2,SH_STA_WASH,PER_100000_POP,E,,,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)","Global Health Observatory (GHO), World Health Organisation (WHO)",
92,3,3.9,3.9.1,SH_AAP_ASMORT,PER_100000_POP,E,,,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","Global Health Observatory (GHO), World Health Organisation (WHO)",
93,3,3.9,3.9.1,SH_HAP_MORT,PER_100000_POP,E,,,"Crude death rate attributed to household air pollution (deaths per 100,000 population)","Global Health Observatory (GHO), World Health Organisation (WHO)",
94,3,3.a,3.a.1,SH_PRV_SMOK,PERCENT,E,,,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,
95,3,3.b,3.b.2,DC_TOF_HLTHNT,CON_USD,C,,,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",OECD,"Net Disbursements | Based on OECD, CRS databased, 2019 | Constant 2017 USD million"
96,3,3.b,3.b.2,DC_TOF_HLTHL,CON_USD,C,,,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries (millions of constant 2017 United States dollars)",OECD,"Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million"
97,3,3.b,3.b.1,SH_ACS_DTP3,PERCENT,E,,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),"WHO/UNICEF coverage estimates 2017 revision, July 2018",
98,3,3.b,3.b.1,SH_ACS_MCV2,PERCENT,E,,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),"WHO/UNICEF coverage estimates 2017 revision, July 2018",
99,3,3.b,3.b.1,SH_ACS_PCV3,PERCENT,E,,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),"WHO/UNICEF coverage estimates 2017 revision, July 2018",
100,3,3.c,3.c.1,SH_MED_HEAWOR,PER_10000_POP,C,,,"Health worker density, by type of occupation (per 10,000 population)","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.",
101,3,3.d,3.d.1,SH_IHR_CAPS,PERCENT,,,,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)","Global Health Observatory (GHO), World Health Organisation (WHO)",
102,4,4.1,4.1.1,SE_MAT_PROF,PERCENT,C,,,"Minimum proficiency in mathematics, by education level and sex (%)",National Learning Assessment (NLA): Monitoring Trends in Educational Growth (MTEG) assessment; Grade 6; Minimum proficiency level: 7,
103,4,4.1,4.1.1,SE_REA_PROF,PERCENT,C,,,"Minimum proficiency in reading, by education level and sex (%)",National Learning Assessment (NLA): Monitoring Trends in Educational Growth (MTEG) assessment; Grade 6; Minimum proficiency level: 8; Domain: Language,
104,4,4.2,4.2.2,SE_PRE_PARTN,PERCENT,C,,,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",UIS,
105,4,4.2,4.2.1,SE_DEV_ONTRK,PERCENT,C,,,"Proportion of children aged 36−59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning (% of children aged 36-59 months)",MICS,
106,4,4.3,4.3.1,SE_ADT_EDUCTRN,PERCENT,C,,,"Participation rate in formal and non-formal education and training, by sex (%)",Adult Education Survey (AES),
